City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,san pedro de macoris,18.4616,-69.2972,86.13,65,31,17.05,DO,1675878549
353,yingcheng,30.95,113.55,44.24,80,100,11.45,CN,1675878550
354,beloha,-25.1667,45.05,75.74,81,100,2.19,MG,1675878551
355,svetlaya,46.5389,138.3297,3.34,68,4,6.4,RU,1675878552
356,savannah bight,16.45,-85.85,78.57,76,1,16.55,HN,1675878552
357,rincon,32.296,-81.2354,75.16,52,100,4.61,US,1675878288
358,san patricio,28.017,-97.5169,58.89,82,93,17.92,US,1675878553
359,helong,42.5397,128.9972,9.46,87,20,4.88,CN,1675878554
360,qasigiannguit,68.8193,-51.1922,-7.35,82,8,4.45,GL,1675878554
361,guia lopes da laguna,-21.4578,-56.1142,82.87,72,100,4.09,BR,1675878555
362,saint anthony,45.0205,-93.218,38.46,66,0,5.75,US,1675878557
363,ambon,-3.6954,128.1814,75.34,94,40,4.61,ID,1675878558
364,anloga,5.7947,0.8973,82.33,78,100,13.04,GH,1675878559
365,sholapur,17.6833,75.9167,78.22,24,57,10.4,IN,1675878560
366,presidente medici,-11.1753,-61.9014,84.11,69,79,3.56,BR,1675878561
367,talcahuano,-36.7167,-73.1167,71.28,53,0,3.44,CL,1675878562
368,axim,4.8699,-2.2405,81.39,75,100,6.11,GH,1675878563
369,meulaboh,4.1363,96.1285,75.34,89,100,3.85,ID,1675878563
370,calama,-22.4667,-68.9333,75.69,33,20,23.02,CL,1675878310
371,gamba,-2.65,10.0,80.47,83,64,8.66,GA,1675878564
372,tura,25.5198,90.2201,61.88,52,22,3.67,IN,1675878564
373,mogwase,-25.185,27.2665,72.79,51,98,6.2,ZA,1675878565
374,atar,20.5169,-13.0499,78.39,12,100,9.42,MR,1675878566
375,itaueira,-7.6033,-43.0256,94.75,24,99,4.97,BR,1675878567
376,hasaki,35.7333,140.8333,37.8,57,85,17.11,JP,1675878450
377,itaituba,-4.2761,-55.9836,84.36,79,75,8.05,BR,1675878557
378,los llanos de aridane,28.6585,-17.9182,60.55,71,75,5.75,ES,1675878568
379,marsabit,2.3284,37.9899,74.07,35,13,7.14,KE,1675878569
380,nouadhibou,20.931,-17.0347,71.58,53,20,13.8,MR,1675878569
381,morris,40.8334,-74.5329,50.65,51,40,9.22,US,1675878570
382,reconquista,-29.15,-59.65,108.32,14,14,11.83,AR,1675878571
383,coruripe,-10.1256,-36.1756,84.07,52,41,11.34,BR,1675878571
384,saldanha,-33.0117,17.9442,66.99,82,46,14.36,ZA,1675878572
385,napasar,27.9667,73.55,69.64,24,2,9.08,IN,1675878572
386,padang,-0.9492,100.3543,75.25,87,34,3.8,ID,1675878573
387,jalu,29.0331,21.5482,55.94,39,92,9.93,LY,1675878574
388,leshan,29.5623,103.7639,51.91,90,100,4.63,CN,1675878575
389,vangaindrano,-23.35,47.6,74.43,93,100,5.46,MG,1675878576
390,weyburn,49.6668,-103.8511,28.62,80,51,4.61,CA,1675878315
391,novobirilyussy,56.9514,90.6661,4.26,98,97,4.21,RU,1675878577
392,gboko,7.3179,8.9951,91.99,10,62,7.4,NG,1675878578
393,aswan,24.0934,32.907,63.7,27,0,11.5,EG,1675878578
394,lembeni,-3.7833,37.6167,79.12,41,73,10.33,TZ,1675878579
395,inhambane,-23.865,35.3833,82.38,83,20,11.99,MZ,1675878579
396,braganca,-1.0536,-46.7656,79.88,91,92,3.91,BR,1675878580
397,opuwo,-18.0607,13.84,78.22,30,90,15.03,NA,1675878580
398,te anau,-45.4167,167.7167,41.92,83,80,1.54,NZ,1675878581
399,najran,17.4924,44.1277,75.85,17,73,3.69,SA,1675878582
400,scarborough,54.2797,-0.4044,42.91,64,69,14.0,GB,1675878582
401,kalevala,65.2,31.1667,29.77,91,87,13.4,RU,1675878582
402,atascocita,29.9988,-95.1766,80.02,73,75,17.27,US,1675878583
403,arandis,-22.4167,14.9667,67.33,66,7,8.63,NA,1675878583
404,llangefni,53.2556,-4.3106,48.06,76,100,27.63,GB,1675878584
405,yeppoon,-23.1333,150.7333,74.98,69,24,21.43,AU,1675878584
406,kiruna,67.8557,20.2251,34.72,69,40,26.46,SE,1675878585
407,sidi bin nur,35.5333,10.9167,51.71,88,100,21.03,TN,1675878585
408,konevo,62.1215,39.3192,28.33,91,99,6.33,RU,1675878586
409,hofn,64.2539,-15.2082,26.62,59,20,9.22,IS,1675878586
410,marathon,44.9,-89.7668,40.24,70,0,3.44,US,1675878587
411,huazhou,21.6333,110.5833,67.93,90,45,13.24,CN,1675878587
412,klaksvik,62.2266,-6.589,38.32,66,79,30.31,FO,1675878588
413,nalut,30.3333,10.85,55.81,56,0,26.35,LY,1675878588
414,plouzane,48.3833,-4.6167,43.12,75,0,5.75,FR,1675878589
415,parry sound,45.3501,-80.033,33.85,75,65,8.59,CA,1675878589
416,antofagasta,-23.65,-70.4,74.48,69,44,9.46,CL,1675878589
417,port macquarie,-31.4333,152.9167,65.89,77,38,4.63,AU,1675878358
418,sugar hill,34.1065,-84.0335,66.78,61,100,5.75,US,1675878371
